Number, FamilySize, DIRECTLY_OWNED_LAND, RESIDENCE_LAND, SILVER, OBLIGATION, LABOR, AGRI_PRODUCE, TOWN_PRODUCT
102, 20, 9.79193610229957, 0.0, 120096.16285343897, -83198.73312424427, 1569.8113207547171, 23.87329842442969, 62.93333333333334
108, 19, 10.759720298838023, 0.0, 148442.02748852642, -79038.77835340737, 1491.3207547169804, 29.09419642936325, 76.45333333333309
42, 18, 10.53005267587615, 0.0, 120278.34299980052, -74879.42895661437, 1412.8301886792433, 26.120783594935403, 62.55999999999981
56, 17, 10.812189022438506, 0.0, 110023.18028979455, -70719.46059339216, 1334.3396226415093, 26.342809867241186, 64.63999999999922
133, 18, 9.623697606610667, 0.0, 84397.95923241964, -74879.43301022869, 1412.8301886792433, 20.4295578015099, 62.55999999999981
44, 16, 10.495506306887014, 0.0, 84895.55187134995, -66559.87311751282, 1255.8490566037744, 23.02565197370231, 66.13333333333233
45, 16, 10.093204990496918, 0.0, 70602.12915448537, -66559.87083601489, 1255.8490566037744, 20.78018651299584, 66.13333333333233
58, 16, 9.96262595120151, 0.0, 65949.11385427305, -66559.87382601232, 1255.8490566037744, 20.05135289827865, 66.13333333333233
130, 21, 7.367865068558836, 0.0, 28322.932570183686, -87359.83336705151, 1648.3018867924511, 7.308737307278761, 70.13333333333364
13, 14, 11.256450581111359, 0.0, 65713.36133549367, -58239.94475339462, 1098.867924528302, 23.863788833872178, 51.36000000000038
53, 18, 8.380743192367685, 0.0, 43587.09352758799, -74879.92817221313, 1412.8301886792433, 12.624742158867207, 46.986666666666544
101, 13, 14.400930755387748, 0.0, 116699.90077283992, -54079.94824200191, 1020.3773584905664, 36.419483039947124, 52.453333333333376
124, 13, 11.594175494285029, 0.0, 54735.221670072926, -54079.97447582221, 1020.3773584905664, 23.690818509931603, 67.84000000000003
4, 11, 16.313568972075124, 0.0, 76480.22607890992, -45759.98901857856, 863.3962264150941, 38.15588395489789, 72.98666666666624
23, 14, 9.090088128197777, 0.0, 18214.837988493273, -58239.99305986896, 1098.867924528302, 13.283583445386881, 65.17333333333352
110, 13, 10.54131836506129, 0.0, 35455.393484000175, -54079.99356455723, 1020.3773584905664, 18.916100392663708, 65.28000000000002
118, 15, 8.366686586267615, 0.0, 16244.95714398252, -62399.99261583123, 1177.3584905660373, 10.447064401098459, 65.066666666667
24, 11, 12.527147117673138, 0.0, 23479.279395795063, -45759.998646615866, 863.3962264150941, 23.626184662867445, 50.50666666666656
65, 10, 14.256043683048095, 0.0, 12736.845764653659, -41599.99875400099, 784.9056603773586, 27.509552806269852, 61.06666666666652
79, 11, 10.953859074410392, 0.0, 2778.0287491225754, -45759.99933326592, 863.3962035605282, 0.0, 0.0
128, 13, 8.361996476316662, 0.0, 194.79641365853604, -54079.99919620028, 1020.3773311087779, 0.0, 0.0

